,history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day),rlon,rlat
848,6622,BERTHIERVILLE,QC,-73.1833,46.05,12,6,-25,27,4642,16.278382023454203,1.0468615131981447
849,6627,CHARLESBOURG PARC ORLEAN,QC,-71.2667,46.8667,114,4,-25,23,5054,17.2820151698798,2.231592225551093
850,6631,COTEAU DU LAC,QC,-74.1667,45.3167,49,7,-24,26,4612,15.835340398054557,0.1449521540605815
851,6634,DESCHAMBAULT,QC,-71.9167,46.6667,15,5,-25,26,4953,16.922755381469877,1.9009426839342536
852,6640,DUCHESNAY,QC,-71.65,46.8667,166,3,-27,23,5347,17.03338649155908,2.14822484257896
853,6646,JOLIETTE VILLE,QC,-73.4333,46.0167,56,6,-25,27,4656,16.122458232313356,0.9636319823370622
854,6654,LES CEDRES,QC,-74.05,45.3,47,7,-23,26,4378,15.918756455961613,0.15249205653689513
855,6658,LOUISEVILLE,QC,-73.0167,46.2667,45,6,-26,26,5017,16.32377712875588,1.2881409336328433
856,6659,MASCOUCHE,QC,-73.6,45.75,15,7,-23,25,4519,16.08989611417244,0.6746081217094909
857,6663,OKA,QC,-74.0667,45.5,91,6,-26,26,4741,15.85004677117141,0.34068495857699327
858,6667,QUEBEC/JEAN LESAGE INTL A,QC,-71.3833,46.8,74,4,-25,24,5169,17.22771444423007,2.142892402870948
859,6669,RIGAUD,QC,-74.3667,45.5,46,6,-25,27,4652,15.648523738310713,0.2806495088143387
860,6673,RIVIERE VERTE OUEST,QC,-71.8333,46.9833,213,4,-27,24,5365,16.877744951521635,2.21948402727274
861,6674,ST ALBAN,QC,-72.0833,46.7167,76,5,-27,25,5148,16.798519081378075,1.912824438817077
862,6675,ST ALEXIS DES MONTS,QC,-73.15,46.5333,183,5,-26,24,5218,16.15629574000493,1.5150610464679561
863,6676,STE ANNE DE LA PERADE,QC,-72.2333,46.5833,16,5,-26,25,5006,16.741931706325044,1.7540822281724946
864,6678,STE BEATRIX,QC,-73.6,46.2,198,4,-27,25,5225,15.95810005194841,1.1048802078623199
865,6680,STE CATHERINE,QC,-71.6167,46.85,152,4,-27,25,5327,17.060287126239714,2.139578302013488
866,6681,ST CHARLES DE MANDEVILLE,QC,-73.35,46.35,168,5,-26,23,5141,16.07911852243818,1.29909797368146
867,6683,STE CHRISTINE,QC,-71.9167,46.8167,152,4,-26,22,5421,16.875816064205196,2.0434183347994725
868,6685,ST COME,QC,-73.75,46.2833,244,4,-27,24,5485,15.834532095958147,1.1542596729610621
869,6691,ST JACQUES,QC,-73.5833,45.95,69,5,-25,26,4865,16.042427016078804,0.8692421461964197
870,6698,ST MATHIEU,QC,-72.9333,46.5833,168,3,-28,24,5408,16.283534503371335,1.607393110610914
871,6699,ST NARCISSE,QC,-72.4333,46.5333,46,5,-26,25,5066,16.626426689197242,1.664176253985097
872,6703,STE THERESE OUEST,QC,-73.8833,45.65,61,6,-25,26,4651,15.929713258832273,0.521333283639665
873,6708,STE FOY (PIE XII),QC,-71.3167,46.7833,79,5,-26,26,5062,17.27629182672879,2.141629603938868
874,6726,TROIS RIVIERES AQUEDUC,QC,-72.6167,46.3833,55,5,-25,26,4901,16.55193535398155,1.4827451771107225
875,6729,LAC AUX SABLES,QC,-72.4,46.8667,160,4,-27,25,5257,16.545808996887292,1.9884978888085978
876,6734,QUEBEC/JEAN LESAGE INTL,QC,-71.3817,46.8036,60,5,-24,23,4908,17.227604010061995,2.1466537017481033
877,6737,ARTHABASKA,QC,-71.95,46.0167,140,5,-25,25,4921,17.104104129505625,1.2763094335797933
878,6740,AUTEUIL,QC,-73.7333,45.65,53,7,-25,27,4594,16.030056157354327,0.5517791406523052
879,6744,BEAUSEJOUR,QC,-71.1667,46.6667,107,5,-25,26,5110,17.411163562539105,2.0641528045347988
880,6745,BECANCOUR,QC,-72.4333,46.3333,15,5,-26,23,4995,16.68777768726543,1.4738111302348953
