,id,station_name,province,lon,lat,elev,SL50 (kPa),rlon,rlat
165,4101,SWIFT CURRENT (HYBRID),SK,-107.708,50.28335,821,1.1,-6.82970579631831,3.2540343879709486
166,4162,BICKLEIGH,SK,-108.40700000000001,51.2944,676,1.0,-7.124496208245403,4.317492293513623
167,4163,BIGGAR,SK,-107.98299999999999,52.0667,671,1.3,-6.752163373239996,5.044025402318534
168,4164,BUTTE ST PIERRE,SK,-109.2,53.45,572,1.2,-7.277127875163325,6.521524327565458
169,4184,KINDERSLEY A,SK,-109.18299999999999,51.5167,694,1.1,-7.570753106418941,4.610409614867476
170,4187,KINDERSLEY KY,SK,-109.167,51.4667,683,1.8,-7.568705942337367,4.559467704196255
171,4200,NORTH BATTLEFORD A,SK,-108.256,52.7719,548,2.0,-6.816518407766225,5.765774172302074
172,4240,CAMEO,SK,-106.55,53.2833,488,1.5,-5.725413134004645,6.135210259560193
173,4285,PRINCE ALBERT A,SK,-105.667,53.2167,428,1.4,-5.205649220236125,6.007061876745139
174,4305,SASKATOON SRC,SK,-106.6,52.15,497,0.9,-5.895926545544545,5.014279146457886
175,4332,BUFFALO NARROWS A,SK,-108.43299999999999,55.8333,434,1.7,-6.468147253388817,8.809364042689996
176,4337,CIGAR LAKE,SK,-104.48299999999999,58.0833,467,2.8,-4.019039624140345,10.776852701726542
177,4346,CREE LAKE,SK,-107.133,57.35,495,1.7,-5.534482218850916,10.211000872120755
178,4363,KEY LAKE,SK,-105.617,57.25,509,2.4,-4.721178101861767,10.011841930809885
179,4369,LA RONGE A,SK,-105.26700000000001,55.15,379,2.2,-4.758247218746956,7.903160812653753
180,4378,MEADOW LAKE A,SK,-108.51700000000001,54.1333,481,1.2,-6.770535142688353,7.135252540529704
181,4396,STONY RAPIDS A,SK,-105.833,59.25,245,3.0,-4.604034071073405,12.01176366560062
182,4397,URANIUM CITY A,SK,-108.48299999999999,59.5667,318,2.6,-5.928649267233507,12.505036006001426
183,4418,NIPAWIN A,SK,-104.0,53.3333,372,1.7,-4.196613718484254,6.022339598671445
184,4443,HUDSON BAY,SK,-102.4,52.8667,372,2.9,-3.271726726194787,5.480382492219133
185,4457,PELLY 2,SK,-101.9,51.7333,499,1.8,-3.0410843278094837,4.329181842759334
186,4475,BRANDON A,MB,-99.9519,49.91,409,2.2,-1.9022360052764455,2.4461289022730366
187,4531,PORTAGE SOUTHPORT A,MB,-98.2667,49.9,270,2.1,-0.816592826955396,2.406655175540253
188,4587,ROBLIN FRIESEN 3 NORTHWEST,MB,-101.4,51.2667,556,1.7,-2.7576263152830216,3.8447714814497687
189,4588,RIVERS PETTAPIECE,MB,-100.179,50.1082,488,3.4,-2.0403860544524055,2.649934333757479
190,4644,MARQUETTE,MB,-97.8071,50.0134,244,2.3,-0.5191396988927048,2.5160958184100637
191,4648,MIAMI THIESSEN,MB,-98.25,49.45,297,1.6,-0.8130760493526549,1.956539149126066
192,4651,MORDEN CDA,MB,-98.0833,49.1833,298,2.2,-0.7083728658870007,1.6882373082187547
