,ilocy,ilocx,HDD (degC-day),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
477,717,1051,6594.15,2.7724424149031415,12.216949590249524,48.8,-78.2833,LAC BERRY,1.1330386799085177,5687.80563534302,0.9773062166686053
478,717,1220,5252.15,2.7603843215106942,19.71869245113389,46.5333,-67.6667,BEECHWOOD,1.0693998382878565,4799.850029988827,0.9773062166686053
479,718,528,4898.15,2.812988203747359,-10.92062877066302,49.1311,-113.809,WATERTON PARK GATE,0.7953163503353406,6018.979042939228,0.9773062166686053
480,718,536,4906.15,2.8090390132346363,-10.571265786085739,49.2006,-113.286,CARDSTON,0.88177405593906,5437.68651687349,0.9773062166686053
481,718,593,5733.15,2.811998922205028,-8.04155769934886,49.6667,-109.46700000000001,CYPRESS HILLS,1.1046158403688158,5072.390718408344,0.9773062166686053
482,718,692,5774.15,2.835407016195248,-3.6706294372449566,50.2,-102.73299999999999,KIPLING,1.015747055251861,5555.6279112990205,0.9773062166686053
483,718,987,6421.15,2.7939506024780143,9.406987093709729,49.4139,-82.4675,KAPUSKASING A,1.119732023411762,5604.403269668688,0.9773062166686053
484,718,1037,6883.15,2.8212802951991085,11.630130895993576,48.9833,-79.1333,VAL ST GILLES,1.176890682772015,5715.862470266188,0.9773062166686053
485,718,1172,5144.15,2.81187889797727,17.587087362385383,47.3167,-70.5667,PETITE RIV ST FRANCOIS,0.9325333321798985,5391.131449128672,0.9773062166686053
486,718,1179,5772.15,2.7991512958382723,17.903660294818017,47.2,-70.1333,ST DAMASE DES AULNAIES,1.0816848304045037,5215.158722743794,0.9773062166686053
487,718,1263,4878.15,2.819593204849754,21.63900572176269,45.8667,-65.0667,PARKINDALE,1.1383073713174412,4188.188920646507,0.9773062166686053
488,718,1299,4689.15,2.8057614051937527,23.227533862191482,45.2167,-63.0,UPPER STEWIACKE,1.1790272938072515,3886.8781664021258,0.9773062166686053
489,719,563,4864.15,2.845578190733637,-9.33997972296452,49.477,-111.446,FOREMOST,0.9824851304759976,4838.509903458261,0.9773062166686053
490,719,1291,4716.15,2.867827166907126,22.87781030563295,45.4167,-63.4167,DEBERT,1.1630172271111687,3963.0734664096876,0.9773062166686053
491,719,1294,4747.15,2.865301707549471,22.994531657643748,45.3667,-63.2667,TRURO,1.1795993541750132,3933.046580635915,0.9773062166686053
492,720,752,6142.15,2.909865111521207,-0.9892112152755341,50.4,-98.55,LANGRUTH,1.1262347906596817,5329.937796713783,0.9773062166686053
493,720,1172,5540.15,2.9211748252048553,17.5968608830553,47.4167,-70.5,BAIE ST PAUL,0.999171820548914,5418.91086690381,0.9773062166686053
494,720,1174,5306.15,2.9157195105543443,17.682560835788625,47.3833,-70.3833,ILE AUX COUDRES,0.9658743289851802,5368.952487871417,0.9773062166686053
495,720,1218,5337.15,2.915060025357727,19.622613419942642,46.7122,-67.7156,AROOSTOOK,1.0679657979632071,4884.079512883937,0.9773062166686053
496,720,1220,5616.15,2.890364405631569,19.72881367190746,46.6508,-67.5845,BON ACCORD,1.1266390474164545,4871.74514440074,0.9773062166686053
497,720,1227,5517.15,2.901267852480248,20.033252850710543,46.55,-67.1667,JUNIPER,1.1224564587175805,4803.700804086026,0.9773062166686053
498,720,1284,4879.15,2.901489114887511,22.54289332329727,45.5833,-63.8333,JACKSON,1.195164415948554,3989.763720729686,0.9773062166686053
499,721,699,6026.15,2.9639579026062517,-3.362546462664063,50.35,-102.26700000000001,WHITEWOOD,1.0583391050091755,5564.751250050857,0.9773062166686053
500,721,725,6284.15,2.947457268907272,-2.1693572616836576,50.4,-100.4,STRATHCLAIR,1.0982037908989764,5592.348990573622,0.9773062166686053
501,721,1179,5459.15,2.9632011627512,17.917497467271644,47.35,-70.0333,LA POCATIERE CDA,1.0170995934737574,5245.564217073963,0.9773062166686053
502,721,1276,4744.15,2.952510648604285,22.20214615660833,45.7667,-64.25,NAPPAN CDA,1.1417480901556942,4060.867128033566,0.9773062166686053
503,722,530,5044.15,2.9802006825695404,-10.800527380979144,49.32,-113.684,WATERTON DAM,0.8434613820264614,5844.581930906103,0.9773062166686053
504,722,639,5656.15,2.9947906157047606,-5.996687382672818,50.1333,-106.367,CODERRE,1.0692060487968162,5169.9955903079535,0.9773062166686053
505,722,646,5666.15,3.0081405607043217,-5.6824517915707995,50.1833,-105.883,COURVAL,1.0631365608095198,5208.70396495467,0.9773062166686053
506,722,694,6014.15,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,1.053655627041244,5578.355994246893,0.9773062166686053
507,722,723,6362.15,3.008132497519388,-2.2962437089641146,50.4549,-100.603,SHOAL LAKE CS,1.109625810057416,5603.482444281319,0.9773062166686053
508,722,760,6113.15,3.003904372048266,-0.6603151832297092,50.4995,-98.0367,OAKPOINT MARINE,1.1217493864802883,5325.984190794713,0.9773062166686053
509,722,1265,4950.15,2.9876359604991496,21.69359495122803,46.0,-64.9,TURTLE CREEK,1.150287693842562,4205.741219643301,0.9773062166686053
510,722,1273,4862.15,2.99186183107382,22.08356301670653,45.85,-64.3833,SACKVILLE,1.1558412112868606,4111.126489498339,0.9773062166686053
511,723,594,5076.15,3.044682502865987,-8.003292419347964,49.9025,-109.46600000000001,MAPLE CREEK,0.9887054258689242,5017.624888001807,0.9773062166686053
512,723,709,5873.15,3.051557182938815,-2.898497165228421,50.4667,-101.55,ROCANVILLE,1.028127888353875,5582.832711227452,0.9773062166686053
513,723,730,6289.15,3.039374012059399,-1.9740473741181737,50.5,-100.1,SANDY LAKE,1.1133284694640821,5520.76548937982,0.9773062166686053
514,723,1170,5586.15,3.051697850970607,17.51547824792845,47.5667,-70.55,ST URBAIN,0.9865078369119404,5534.045364842505,0.9773062166686053
515,723,1175,5905.15,3.055709015235914,17.728991502773084,47.5,-70.25,LES EBOULEMENTS,1.0728647758973844,5379.186580651244,0.9773062166686053
516,724,564,4932.15,3.098854685759743,-9.295091002394907,49.7342,-111.45,BOW ISLAND,1.0027465471564283,4807.018154498924,0.9773062166686053
517,724,684,5863.15,3.095145878156031,-4.003195614311606,50.4333,-103.28299999999999,WOLSELEY,1.0195710496627488,5620.101655648146,0.9773062166686053
518,724,1002,6662.15,3.095391560413416,10.066378797363441,49.5833,-81.3833,ISLAND FALLS,1.1440106024571826,5691.34638909296,0.9773062166686053
519,725,489,3921.15,3.1151840128259987,-12.6342381251342,49.032,-116.458,LISTER,0.6153160937004479,6227.960410467827,0.9773062166686053
520,725,594,4999.15,3.1410386313108254,-7.988365624920761,50.0,-109.46700000000001,MAPLE CREEK NORTH,0.9771112060006055,5000.147724286595,0.9773062166686053
521,725,604,4971.15,3.1239268157126836,-7.556638000229103,50.05,-108.8,TOMPKINS,0.9651561018473279,5033.7305951785265,0.9773062166686053
522,725,651,5517.15,3.132757897675771,-5.455457025132438,50.332499999999996,-105.55250000000001,MOOSE JAW A,1.0217296294504261,5277.2718318773295,0.9773062166686053
523,725,774,6092.149999999999,3.1333041657657645,-0.01765941888999184,50.6333,-97.0278,GIMLI,1.0895174986490157,5464.708988391997,0.9773062166686053
524,725,775,5869.15,3.1311012949986092,0.011307615739156248,50.6311,-96.9822,GIMLI HARBOUR CS,1.0487410316589898,5469.373857230425,0.9773062166686053
525,725,1172,6072.15,3.116497432622844,17.600139590724563,47.6,-70.4,ST HILARION,1.0843037334654104,5472.959061552081,0.9773062166686053
526,725,1182,5837.15,3.1142769282717855,18.043416843892093,47.45,-69.7833,ST BRUNO KAMOURASKA,1.0982484835349076,5194.3463325035655,0.9773062166686053
527,725,1265,4819.15,3.1107959662171765,21.723803549587608,46.1014,-64.7903,MONCTON,1.1145802138611856,4225.613549824854,0.9773062166686053
528,725,1267,4963.15,3.143485364303546,21.790230230835956,46.1053,-64.6838,MONCTON A,1.15427859673093,4202.206783523577,0.9773062166686053
529,725,1286,4729.15,3.1446545758381275,22.638977523080182,45.7667,-63.5667,MIDDLEBORO,1.1767155695406066,3927.7356518387105,0.9773062166686053
530,726,488,4010.15,3.188285817900065,-12.663697670536099,49.0956,-116.529,CRESTON WPCC,0.6239069051280149,6281.617485816199,0.9773062166686053
