,ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
153,703,1297,2.1,2.1285083347995943,23.143751611246888,44.6333,-63.5,SHEARWATER A,1.3938462061206078,1.0726445215251592,0.7119530937351894
154,704,1277,3.1,2.1832299349175868,22.229032603976535,45.05,-64.65,WATERVILLE CAMBRIDGE,2.3050290586468263,0.9574953436269236,0.7119530937351894
155,705,1168,5.7,2.220882571941183,17.406153681880436,46.8167,-71.1,LAUZON,1.6171478785291726,2.5094381832176844,0.7119530937351894
156,705,1279,3.4,2.245163530071908,22.330642996726787,45.0667,-64.4833,KENTVILLE CDA,2.462301537312164,0.983080456239329,0.7119530937351894
157,705,1287,4.5,2.249827933933791,22.675906214322463,44.9333,-64.0333,SALMON HOLE,3.462393342042102,0.9253105021045281,0.7119530937351894
158,707,675,2.0,2.3444152303763364,-4.421666135144434,49.65,-103.833,WEYBURN,1.6134647493145498,0.882514593563509,0.7119530937351894
159,707,813,3.9,2.3191516259454263,1.7019727769211224,49.7903,-94.3653,KENORA A,1.6857714811050377,1.6470898319783784,0.7119530937351894
160,707,1046,4.2,2.3301463594803966,12.017196687285196,48.4167,-78.7333,MONT BRUN,1.2741059265020755,2.346902978386644,0.7119530937351894
161,708,1168,4.8,2.377566928011995,17.400888965846388,46.9667,-71.0333,CHATEAU RICHER,1.272885275400467,2.6847469414348883,0.7119530937351894
162,708,1184,4.7,2.38587791745667,18.134863525524572,46.7333,-70.0167,STE LUCIE,1.2038761952553239,2.779504698027289,0.7119530937351894
163,708,1295,2.3,2.353824406162802,23.043207937173968,44.88,-63.5,HALIFAX STANFIELD INT'L A,1.615140954689663,1.0138385203077012,0.7119530937351894
164,709,756,2.1,2.406655175540253,-0.816592826955396,49.9,-98.2667,PORTAGE SOUTHPORT A,1.2450529233043506,1.2008336905678856,0.7119530937351894
165,709,771,2.6,2.4169256900823712,-0.15035553299554535,49.9167,-97.2333,WINNIPEG RICHARDSON INT'L A,1.4684445789061678,1.2605705862527992,0.7119530937351894
166,709,777,2.4,2.4333932656282005,0.0966389221322516,49.9333,-96.85,OAKBANK,1.3075805287453786,1.306755023802578,0.7119530937351894
167,709,836,1.9,2.408289044403697,2.742262906325916,49.8333,-92.75,DRYDEN A,0.7335161587516295,1.8441459836400025,0.7119530937351894
168,709,1242,3.3,2.4355673986902304,20.695842322706284,45.8721,-66.5279,FREDERICTON A,1.2271395308448878,1.9145705523059204,0.7119530937351894
169,710,732,2.2,2.4461289022730366,-1.9022360052764455,49.91,-99.9519,BRANDON A,1.3347762095276363,1.1734527443905474,0.7119530937351894
170,710,1225,4.2,2.4503054913706883,19.923144460296516,46.1703,-67.5536,WOODSTOCK,1.3299919240063334,2.24828657957592,0.7119530937351894
171,710,1240,2.8,2.4538374466501836,20.62178160144984,45.9167,-66.6167,FREDERICTON CDA,1.0007696920715126,1.9919354855083702,0.7119530937351894
172,710,1248,4.0,2.4523914808738034,20.97348209091824,45.7833,-66.15,GAGETOWN 2,1.354940241297231,2.1017992440863953,0.7119530937351894
173,711,763,2.3,2.5160958184100637,-0.5191396988927048,50.0134,-97.8071,MARQUETTE,1.3418868295424553,1.2202907723218903,0.7119530937351894
174,712,1054,4.2,2.5693781490772243,12.368776262825914,48.5667,-78.1333,AMOS,1.2713593682372117,2.3519730678775947,0.7119530937351894
175,712,1355,1.0,2.558199415687226,25.705259485464225,43.9322,-60.0094,SABLE ISLAND,0.7015482981196428,1.0148311893043354,0.7119530937351894
176,713,1244,3.5,2.5880834006331126,20.757678859211282,45.9903,-66.3633,ACADIA FOREST EXP ST,1.2216913752604495,2.039660652873099,0.7119530937351894
177,713,1278,3.0,2.5929897681063143,22.295057999272316,45.4,-64.3333,PARRSBORO,1.712089846907583,1.2475158853744783,0.7119530937351894
178,714,728,3.4,2.649934333757479,-2.0403860544524055,50.1082,-100.179,RIVERS PETTAPIECE,2.015033349663191,1.2012905489153562,0.7119530937351894
179,715,921,2.9,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,0.9134544366240954,2.2602812894122484,0.7119530937351894
180,715,1163,4.4,2.6832756820036425,17.21270812915398,47.3167,-71.15,FORET MONTMORENCY,0.9064315814812669,3.4559625640091127,0.7119530937351894
181,716,848,3.4,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,1.2604609301317409,1.9204407378550348,0.7119530937351894
182,717,988,3.0,2.7844182733983796,9.431461031270734,49.4,-82.4333,KAPUSKASING CDA,0.9129735497836858,2.3394536256955365,0.7119530937351894
183,717,1051,2.9,2.7724424149031415,12.216949590249524,48.8,-78.2833,LAC BERRY,0.8673765522630261,2.3803548371756698,0.7119530937351894
184,718,987,3.8,2.7939506024780143,9.406987093709729,49.4139,-82.4675,KAPUSKASING A,1.160584032412763,2.3310864880411635,0.7119530937351894
185,718,1299,2.0,2.8057614051937527,23.227533862191482,45.2167,-63.0,UPPER STEWIACKE,1.162950898712167,1.2243906333854588,0.7119530937351894
186,718,1313,2.0,2.8341066245898623,23.849578318579603,44.9833,-62.1833,ECUM SECUM,1.443459995494669,0.9864535157986217,0.7119530937351894
187,719,1294,2.1,2.865301707549471,22.994531657643748,45.3667,-63.2667,TRURO,1.2589675618636038,1.1875615719842325,0.7119530937351894
