,Q10_Gumbel-MM,Location,lat,lon,rlat,rlon
347,0.302,Nanticoke (Port Dover),42.79,-80.2,-3.384,12.267
348,0.199,Napanee,44.25,-76.95,-1.415,14.22
349,0.152,New Liskeard,47.51,-79.68,1.304,11.604
350,0.34,Newcastle,43.92,-78.59,-2.021,13.157
351,0.26,Newmarket,44.04,-79.46,-2.046,12.52
352,0.257,Niagara Falls,43.11,-79.06,-2.888,13.012
353,0.123,North Bay,46.31,-79.46,0.167,12.015
354,0.217,Norwood,44.38,-77.98,-1.47,13.474
355,0.289,Oakville,43.47,-79.69,-2.639,12.484
356,0.279,Orangeville,43.92,-80.09,-2.263,12.104
357,0.196,Orillia,44.61,-79.42,-1.484,12.421
358,0.312,Oshawa,43.9,-78.87,-2.087,12.966
359,0.156,Ottawa (Barrhaven),45.28,-75.76,-0.2,14.768
360,0.16,Ottawa (city hall),45.42,-75.69,-0.052,14.778
361,0.156,Ottawa (Kanata),45.32,-75.91,-0.19,14.656
362,0.162,Ottawa (M-C Int'l Airport),45.32,-75.67,-0.145,14.819
363,0.166,Ottawa (Orleans),45.48,-75.51,0.039,14.884
364,0.237,Owen Sound,44.56,-80.94,-1.764,11.374
365,0.151,Pagwa River,50.02,-85.22,3.092,7.548
366,0.28,Paris,43.19,-80.38,-3.021,12.054
367,0.275,Parkhill,43.16,-81.68,-3.243,11.13
368,0.202,Parry Sound,45.34,-80.03,-0.867,11.84
369,0.284,Pelham (Fonthill),43.04,-79.28,-2.992,12.871
370,0.126,Pembroke,45.83,-77.11,0.086,13.713
371,0.304,Penetanguishene,44.77,-79.93,-1.408,12.032
372,0.118,Perth,44.9,-76.25,-0.658,14.535
373,0.124,Petawawa,45.9,-77.28,0.124,13.581
374,0.257,Peterborough,44.31,-78.32,-1.596,13.254
375,0.221,Petrolia,42.88,-82.15,-3.583,10.846
376,0.283,Pickering (Dunbarton),43.84,-79.08,-2.18,12.832
377,0.397,Picton,44.0,-77.13,-1.689,14.158
378,0.293,Plattsville,43.31,-80.62,-2.94,11.857
379,0.114,Point Alexander,46.13,-77.57,0.297,13.329
380,0.255,Port Burwell,42.65,-80.8,-3.613,11.865
381,0.253,Port Colborne,42.89,-79.25,-3.133,12.926
382,0.319,Port Elgin,44.45,-81.38,-1.935,11.088
383,0.329,Port Hope,43.95,-78.29,-1.941,13.36
384,0.276,Port Perry,44.11,-78.95,-1.896,12.861
385,0.24,Port Stanley,42.67,-81.22,-3.656,11.558
386,0.124,Prescott,44.72,-75.52,-0.694,15.082
387,0.282,Princeton,43.17,-80.53,-3.063,11.951
388,0.157,Raith,48.83,-89.93,1.542,4.649
389,0.167,Rayside-Balfour (Chelmsford),46.57,-81.2,0.167,10.789
390,0.129,Red Lake,51.06,-93.74,3.603,2.052
391,0.126,Renfrew,45.47,-76.68,-0.186,14.095
392,0.268,Richmond Hill,43.85,-79.38,-2.219,12.619
393,0.151,Rockland,45.55,-75.29,0.149,15.013
394,0.201,Sarnia,42.97,-82.41,-3.531,10.642
395,0.229,Sault Ste. Marie,46.51,-84.33,-0.282,8.682
396,0.2,Schreiber,48.8,-87.27,1.7,6.394
397,0.307,Seaforth,43.55,-81.39,-2.819,11.26
398,0.272,Shelburne,44.08,-80.2,-2.123,11.992
399,0.288,Simcoe,42.84,-80.31,-3.352,12.178
400,0.149,Sioux Lookout,50.1,-91.92,2.707,3.26
401,0.128,Smiths Falls,44.9,-76.02,-0.615,14.692
402,0.276,Smithville,43.09,-79.55,-2.987,12.667
403,0.167,Smooth Rock Falls,49.28,-81.63,2.766,9.969
404,0.116,South River,45.84,-79.38,-0.279,12.174
405,0.331,Southampton,44.49,-81.37,-1.895,11.087
406,0.285,St. Catharines,43.16,-79.25,-2.87,12.865
407,0.279,St. Mary's,43.26,-81.14,-3.067,11.496
408,0.245,St. Thomas,42.78,-81.19,-3.544,11.557
409,0.208,Stirling,44.3,-77.55,-1.473,13.792
410,0.292,Stratford,43.37,-80.98,-2.935,11.588
411,0.253,Strathroy,42.96,-81.62,-3.43,11.212
412,0.132,Sturgeon Falls,46.37,-79.93,0.154,11.686
413,0.251,Sudbury,46.49,-80.99,0.118,10.946
414,0.116,Sundridge,45.77,-79.39,-0.349,12.183
415,0.291,Tavistock,43.32,-80.84,-2.963,11.698
416,0.125,Temagami,47.06,-79.79,0.848,11.629
417,0.264,Thamesford,43.06,-81.0,-3.242,11.637
418,0.276,Thedford,43.17,-81.85,-3.257,11.006
419,0.183,Thunder Bay,48.38,-89.25,1.136,5.14
420,0.261,Tillsonburg,42.86,-80.73,-3.397,11.872
421,0.153,Timmins,48.48,-81.33,2.021,10.32
422,0.16,Timmins (Porcupine),48.49,-81.17,2.052,10.422
423,0.277,Etobicoke,43.64,-79.57,-2.454,12.531
424,0.27,North York,43.77,-79.41,-2.302,12.615
425,0.277,Scarborough,43.77,-79.26,-2.277,12.721
426,0.29,Toronto (city hall),43.65,-79.38,-2.414,12.663
427,0.27,Toronto (LBP Int'l Airport),43.68,-79.61,-2.422,12.494
428,0.298,Trenton,44.1,-77.57,-1.671,13.827
429,0.118,Trout Creek,45.99,-79.36,-0.13,12.154
430,0.255,Uxbridge,44.11,-79.12,-1.923,12.742
431,0.267,Vaughan (Woodbridge),43.86,-79.51,-2.23,12.525
432,0.293,Vittoria,42.76,-80.32,-3.432,12.188
433,0.284,Walkerton,44.13,-81.15,-2.216,11.314
434,0.187,Wallaceburg,42.59,-82.38,-3.9,10.734
435,0.305,Waterloo,43.46,-80.52,-2.778,11.897
436,0.245,Watford,42.95,-81.88,-3.477,11.027
437,0.243,Wawa,48.0,-84.77,1.142,8.151
438,0.269,Welland,42.98,-79.25,-3.046,12.906
439,0.238,West Lorne,42.6,-81.61,-3.782,11.29
440,0.302,Whitby,43.9,-78.94,-2.098,12.916
441,0.298,Whitby (Brooklin),43.96,-78.96,-2.043,12.889
442,0.148,White River,48.59,-85.28,1.673,7.725
443,0.313,Wiarton,44.74,-81.14,-1.617,11.198
444,0.161,Windsor,42.32,-83.04,-4.254,10.304
445,0.301,Wingham,43.89,-81.31,-2.474,11.249
446,0.277,Woodstock,43.13,-80.76,-3.137,11.795
447,0.224,Wyoming,42.95,-82.12,-3.511,10.854
448,0.176,Acton-Vale,45.65,-72.56,0.796,16.813
449,0.201,Alma,48.55,-71.65,3.745,16.501
450,0.168,Amos,48.57,-78.12,2.575,12.377
451,0.141,Asbestos,45.78,-71.94,1.054,17.185
452,0.153,Aylmer,45.4,-75.84,-0.1,14.682
453,0.265,Baie-Comeau,49.22,-68.15,5.151,18.448
454,0.259,Baie-Saint-Paul,47.44,-70.51,2.941,17.583
455,0.245,Beauport,46.87,-71.18,2.254,17.337
